Pd_bus1,Pd_bus2,Pd_bus3,Pd_bus4,Pd_bus5,Pd_bus6,Pd_bus7,Pd_bus8,Pd_bus9,Pd_bus10,Pd_bus11,Pd_bus12,Pd_bus13,Pd_bus14,Qd_bus1,Qd_bus2,Qd_bus3,Qd_bus4,Qd_bus5,Qd_bus6,Qd_bus7,Qd_bus8,Qd_bus9,Qd_bus10,Qd_bus11,Qd_bus12,Qd_bus13,Qd_bus14,Pg_gen1,Pg_gen2,Pg_gen3,Pg_gen4,Pg_gen5
0.0,21.54287126949233,93.51790200857963,47.453882335563755,7.544968739545701,11.118901300383138,0.0,0.0,29.286391817973445,8.934831402093593,3.474656656369731,6.0558301725301025,13.402247103140391,14.792109765688284,0.0,12.608039867398737,18.862421848864255,-3.8717602742405575,1.5884144714833057,7.445692835077995,0.0,0.0,16.4798001416393,5.758002459126983,1.7869662804187187,1.5884144714833057,5.758002459126983,4.96379522338533,194.1448129792483,36.68283628471199,27.927574215942137,8.709682699789429e-05,7.642757189137536
0.0,21.77896814089724,94.54280179136038,47.973948255063966,7.6276570447382035,11.24075775014051,0.0,0.0,29.60735300260224,9.032751763505768,3.51273679691891,6.122198417487242,13.549127645258652,14.954222364026217,0.0,12.746216377391471,19.06914261184551,-3.9141924308524993,1.605822535734359,7.527293136254807,0.0,0.0,16.660408808243975,5.82110669203705,1.8065503527011537,1.605822535734359,5.82110669203705,5.018195424169871,194.42323011370777,36.73744745397624,29.152532778380973,0.00011692497934454786,8.92334630775727
0.0,20.36141561739255,88.38918668932618,44.85141320328865,7.131187036506146,10.509117738009056,0.0,0.0,27.680265470648855,8.444826753757278,3.2840992931278303,5.723715910879933,12.667240130635918,13.98087984788705,0.0,11.91658886363527,17.827967591265367,-3.6594249266281538,1.501302534001294,7.037355628131065,0.0,0.0,15.576013790263426,5.44222168575469,1.6889653507514557,1.501302534001294,5.44222168575469,4.6915704187540435,192.72923102675264,36.40552471276721,21.738870276495774,0.001236280293708653,1.3224966049012685
0.0,22.095867587873542,95.91846667178285,48.67200325808089,7.738644869485665,11.404318755031506,0.0,0.0,30.038161006556198,9.164184713864604,3.5638496109473454,6.211280750508231,13.746277070796905,15.171816915175842,0.0,12.931682874008938,19.346612173714163,-3.971146709341328,1.6291883935759295,7.636820594887169,0.0,0.0,16.902829583350268,5.905807926712744,1.8328369427729208,1.6291883935759295,5.905807926712744,5.09121372992478,194.79714520504382,36.81080234430043,30.79731488637978,0.00020169529460586542,10.641906005296477
0.0,23.828582574788836,103.4402063845672,52.488767146309044,8.34549435799056,12.29862326440714,0.0,0.0,32.39369520535809,9.882822266041453,3.8433197701272315,6.698357313650318,14.824233399062178,16.36156130711307,0.0,13.945760308747383,20.8637358949764,-4.282556315284629,1.7569461806295916,8.23568522170121,0.0,0.0,18.228316624032015,6.368929904782269,1.9765644532082907,1.7569461806295916,6.368929904782269,5.490456814467474,196.61254030167254,37.17112023406717,39.273806132773935,1.5255266258140718,19.30853916685253
0.0,21.003172249501503,91.17506110152266,46.26505223622912,7.35594972793601,10.840346967484647,0.0,0.0,28.552699601856883,8.710993098871592,3.3876084273389524,5.904117544790745,13.066489648307387,14.421533019242968,0.0,12.292179150629911,18.389874319840025,-3.7747636761776895,1.5486209953549497,7.259160915726326,0.0,0.0,16.066942826807605,5.613751108161692,1.7421986197743182,1.5486209953549497,5.613751108161692,4.839440610484218,193.50860515783475,36.55807940484001,25.128312842074852,0.0007816273305486594,4.714875034482656
0.0,22.066408392558962,95.79058389765227,48.60711157439255,7.728327363292539,11.38911400906269,0.0,0.0,29.99811279172762,9.151966614425376,3.5590981278320903,6.202999594221644,13.727949921638064,15.1515891727709,0.0,12.914441778133584,19.32081840823135,-3.9658521995843294,1.6270162870089557,7.62663884535448,0.0,0.0,16.880293977717916,5.897934040407464,1.8303933228850753,1.6270162870089557,5.897934040407464,5.084425896902987,194.7623759195693,36.80398069962724,30.644386979864763,0.00018849150618839295,10.482164052464512
0.0,22.500550575273166,97.6752011147803,49.56342476949573,7.880377160003505,11.613187393689376,0.0,0.0,30.588306081592552,9.332025584214678,3.6291210605279303,6.325039562634392,13.998038376322016,15.449686800533188,0.0,13.168524991058488,19.700942900008762,-4.043877753159694,1.6590267705270538,7.776687986845564,0.0,0.0,17.212402744218185,6.01397204316057,1.8664051168429356,1.6590267705270538,6.01397204316057,5.184458657897043,195.27492941846128,36.90455538161726,32.898562091184715,0.0008507569120412193,12.835762271913262
0.0,20.099746380068225,87.25327691255424,44.27501737176319,7.0395425109916365,10.37406264777715,0.0,0.0,27.32454000977017,8.336300341963781,3.2418945774303594,5.65015912066434,12.504450512945672,13.801208343917816,0.0,11.763446038104446,17.598856277479094,-3.6123968148509715,1.48200894968245,6.946916951636484,0.0,0.0,15.375842852955419,5.37228244259888,1.667260068392756,1.48200894968245,5.37228244259888,4.631277967757656,192.3519738873891,36.33224891234262,20.198368721511322,9.854961190476551e-05,0.16647269590361075
0.0,21.335068811968775,92.61582866762483,46.99614236000495,7.472189998661875,11.01164841908066,0.0,0.0,29.00389538954281,8.848646051046957,3.441140130962706,5.997415656820715,13.272969076570437,14.649425128955519,0.0,12.486422760921817,18.680474996654688,-3.8344132887870153,1.573092631297237,7.373871709205798,0.0,0.0,16.320836049708834,5.702460788452484,1.7697292102093916,1.573092631297237,5.702460788452484,4.915914472803865,193.89987492229398,36.634798179018404,26.849729558778968,6.39340154148211e-05,6.515492878860199
0.0,21.095636058073413,91.57644777283483,46.46872827538752,7.388333365961195,10.888070223521762,0.0,0.0,28.678399249454642,8.749342143901416,3.402521944850551,5.930109675310959,13.124013215852123,14.485021993792344,0.0,12.346293914171998,18.47083341490299,-3.7913815956906136,1.5554386033602519,7.29111845325118,0.0,0.0,16.137675509862614,5.638464937180912,1.7498684287802833,1.5554386033602519,5.638464937180912,4.860745635500787,193.61777682212187,36.57947945688076,25.608168763090827,5.262563301078791e-05,5.216488865896003
